userId,movieId,rating,predicted,rating_binary_k_1,rating_q_k_1,rating_binary_k_2,rating_q_k_2,rating_binary_k_3,rating_q_k_3,rating_binary_k_4,rating_q_k_4,rating_binary_k_5,rating_q_k_5,rating_binary_k_6,rating_q_k_6,rating_binary_k_7,rating_q_k_7,rating_binary_k_8,rating_q_k_8,rating_binary_k_9,rating_q_k_9,rating_binary_k_10,rating_q_k_10
606,382,2.5,3.3028756981885894,3.5,3.5,2.5,4.0,4.5,4.5,3.5,3.5,2.5,3.5,4.5,4.0,3.5,3.0,4.0,2.5,3.5,3.5,2.5,3.0
608,160,2.5,2.145534269383228,4.5,2.5,2.0,4.5,3.0,2.0,4.0,4.5,3.0,3.5,4.5,3.0,4.5,3.0,3.0,2.5,3.5,3.0,2.0,3.0
4,357,3.0,2.7370914721034216,5.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,5.0,,2.0,,5.0,,3.0,,1.0,,4.0,
40,434,3.0,2.4520188038900232,3.0,5.0,3.0,1.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,4.0
54,480,3.0,2.994511649153826,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,,3.0,,3.0,,4.0,
91,315,3.0,2.236521418867933,4.5,1.5,4.0,4.5,4.5,3.5,3.5,2.0,3.5,3.0,4.5,3.5,4.0,2.0,2.5,4.0,3.0,4.5,2.0,2.0
133,110,3.0,3.0481509862445573,4.0,3.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,,2.0,,4.0,,3.0,,3.0,,3.0,
135,393,3.0,3.707144694858929,4.0,5.0,4.0,1.0,2.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,2.0,,5.0,,1.0,
144,597,3.0,2.710841195886037,3.0,3.0,4.0,4.0,3.5,4.0,4.0,4.5,3.0,4.5,3.0,3.5,4.0,3.0,4.0,4.5,3.0,3.0,4.5,
173,592,3.0,2.966012745295704,5.0,3.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,,3.0,,4.0,,4.0,,5.0,
176,485,3.0,2.815999005732264,4.0,4.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,3.0,,4.0,,5.0,,4.0,,4.0,
181,122,3.0,2.964186209937571,3.0,4.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,5.0,2.0,4.0,2.0,3.0
182,100,3.0,3.638566870021963,3.0,4.0,3.5,3.5,3.5,3.5,3.5,1.5,4.0,4.0,4.0,2.5,4.0,4.5,4.0,4.5,3.5,4.0,4.5,3.0
230,380,3.0,1.3844781279469085,0.5,3.5,3.0,3.0,3.0,3.0,3.0,2.0,2.0,,3.0,,4.0,,3.0,,2.5,,3.5,
232,588,3.0,3.3673621656014148,3.5,4.5,3.0,3.5,4.5,3.0,4.0,2.5,5.0,4.5,4.0,3.5,4.0,4.5,3.0,,3.5,,5.0,
240,380,3.0,2.627741903712812,3.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0
244,329,3.0,4.258400218064657,2.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,1.0,,4.0,,4.0,,4.0,,4.0,
262,367,3.0,2.927726994639008,3.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,
265,253,3.0,3.6487974988764287,4.0,1.0,3.0,4.0,5.0,3.0,4.0,3.0,4.0,2.0,4.0,,4.0,,1.0,,2.0,,3.0,
290,188,3.0,2.1523931074634026,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,,4.0,,4.0,
308,355,3.0,1.024645858804932,1.0,2.5,2.5,1.0,2.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,
373,60,3.0,3.272831400865112,4.0,2.0,5.0,3.0,3.0,1.0,3.0,4.0,3.0,2.0,2.0,1.0,5.0,4.0,3.0,3.0,5.0,1.0,5.0,3.0
395,380,3.0,1.8328359724429744,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,,3.0,,3.0,
404,193,3.0,2.452086529680995,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0
414,45,3.0,3.3354441053418897,3.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,5.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0
414,521,3.0,2.741619610399812,2.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,5.0,4.0,3.0,4.0,2.0,3.0,3.0,5.0,3.0,4.0
429,553,3.0,3.4103619990306537,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,,4.0,,4.0,,5.0,
436,588,3.0,2.816148093582044,5.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,5.0,1.0,3.0,3.0,4.0,3.0,,4.0,
455,420,3.0,3.2172554248916168,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,
480,165,3.0,2.55375470016015,4.0,1.0,3.0,1.0,4.0,3.0,3.0,2.5,5.0,3.0,2.5,4.0,3.5,2.5,4.5,4.0,3.5,4.5,2.5,3.5
486,593,3.0,4.205960919971449,3.0,5.0,3.0,3.0,2.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0
555,592,3.0,4.09266050172709,3.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0
589,161,3.0,4.62539958586001,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,,5.0,,4.0,,5.0,,3.0,,4.0,
602,170,3.0,3.5823936403908823,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,1.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,2.0,3.0
607,34,3.0,4.396777313360135,4.0,3.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,4.0,2.0,5.0,4.0,5.0,,3.0,,2.0,
610,356,3.0,3.1433630683416007,3.5,3.5,4.5,5.0,5.0,4.0,4.5,3.0,4.5,4.0,4.0,5.0,5.0,4.0,5.0,4.5,3.0,4.5,3.0,5.0
12,357,3.5,3.519847169532272,5.0,4.0,4.5,,4.0,,,,,,,,,,,,,,,
18,1,3.5,3.8091979410277066,4.0,4.0,4.0,2.5,5.0,3.5,4.5,2.5,2.5,4.0,4.0,5.0,2.5,4.5,3.0,4.0,4.0,4.5,2.5,4.5
18,500,3.5,3.598634964156252,4.0,4.5,4.5,4.0,2.5,4.5,4.0,2.5,4.5,3.5,3.0,5.0,4.0,4.5,3.5,4.0,2.5,2.5,5.0,4.0
21,541,3.5,2.694252354913506,3.5,3.5,4.5,1.0,5.0,2.5,1.0,3.0,3.5,5.0,3.0,3.0,2.5,,3.0,,3.0,,2.0,
28,62,3.5,3.5349748394543146,2.5,2.5,4.0,3.0,3.5,3.0,3.0,3.5,3.0,1.5,4.5,1.5,1.5,3.5,4.0,2.0,3.0,3.0,2.5,
29,296,3.5,3.460921549170467,4.5,3.5,3.5,,4.5,,4.0,,,,,,,,,,,,,
66,555,3.5,3.9108019426333778,4.0,5.0,5.0,4.0,3.0,4.0,4.0,5.0,3.5,4.5,5.0,3.0,5.0,4.0,4.5,,4.0,,5.0,
76,589,3.5,1.5873939747271175,0.5,0.5,0.5,0.5,3.0,3.5,3.5,3.0,0.5,0.5,3.0,,3.5,,4.0,,3.5,,0.5,
91,553,3.5,2.1039282692871533,5.0,4.0,4.5,2.0,3.0,4.0,4.0,4.5,3.5,3.5,4.5,4.5,3.5,3.0,3.0,4.0,2.0,2.0,2.0,2.0
91,555,3.5,2.9924638827634364,5.0,3.0,3.0,5.0,4.0,4.5,3.5,1.5,4.5,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.5
144,1,3.5,3.898604582269771,4.0,4.0,4.5,3.0,4.0,4.0,3.0,3.5,3.5,4.5,3.0,4.5,4.0,3.0,3.5,4.5,4.0,3.0,2.0,
156,376,3.5,3.341951073210176,4.0,4.0,1.0,3.5,3.0,4.0,4.0,4.0,3.0,4.0,4.5,1.0,4.0,3.0,4.0,4.0,4.0,4.0,3.5,5.0
222,508,3.5,2.3782214796613097,3.0,4.0,2.5,3.0,3.5,3.5,4.0,2.5,3.0,4.0,4.0,,3.5,,4.0,,4.0,,2.5,
226,364,3.5,3.4442825803648054,4.5,3.0,2.0,4.5,3.5,5.0,2.5,3.0,3.5,3.5,3.0,3.5,5.0,2.0,5.0,3.5,5.0,2.5,2.0,4.0
227,589,3.5,3.0907640914729138,3.0,4.0,4.0,3.5,4.5,5.0,4.0,,4.0,,3.5,,4.0,,3.5,,5.0,,5.0,
246,356,3.5,3.642235290874905,4.5,4.5,3.5,4.5,5.0,,4.0,,4.0,,5.0,,5.0,,5.0,,4.5,,3.0,
282,592,3.5,3.7438877529515024,4.0,3.5,4.5,4.0,4.0,4.0,4.5,4.5,3.5,4.5,4.0,4.5,4.0,,4.0,,5.0,,4.5,
