movieId,companies,director,genres,keywords,stars,title,writers,year
344,Morgan Creek Entertainment,Tom Shadyac,Comedy,owner dog relationship|master dog relationship|shower|stupidity|nudity,Jim Carrey|Courteney Cox|Sean Young,"Ace Ventura, un detective diferente",Jack Bernstein,1994
356,Paramount Pictures,Robert Zemeckis,Romance|Drama,mother|vietnam|amputee|war hero|vietnam war,Tom Hanks|Robin Wright|Gary Sinise,Forrest Gump,Winston Groom|Eric Roth,1994
364,Walt Disney Feature Animation|Walt Disney Pictures,Roger Allers,Family|Musical|Drama|Adventure|Animation,king|lion|scar|africa|unnecessary guilt,Matthew Broderick|Jeremy Irons|James Earl Jones,El rey león,Irene Mecchi|Jonathan Roberts,1994
367,New Line Cinema|Dark Horse Entertainment,Chuck Russell,Comedy|Fantasy,high heels|camera shot of feet|pantyhose|legs|female stockinged feet,Cameron Diaz|Jim Carrey|Peter Riegert,La máscara,Mark Verheiden|Michael Fallon,1994
377,Twentieth Century Fox|The Mark Gordon Company,Jan de Bont,Action|Thriller|Adventure|Crime,police|bus|bomb|rescue|mini skirt,Dennis Hopper|Sandra Bullock|Keanu Reeves,Speed - Máxima potencia,Graham Yost,1994
380,Lightstorm Entertainment|Twentieth Century Fox,James Cameron,Action|Thriller|Comedy,remake|secret mission|spy|tango|secret agent,Tom Arnold|Jamie Lee Curtis|Arnold Schwarzenegger,Mentiras arriesgadas,Simon Michaël|Claude Zidi,1994
457,Kopelson Entertainment|Warner Bros.,Andrew Davis,Action|Mystery|Crime|Thriller|Drama,on the run|chicago illinois|one armed man|surgeon|u.s. marshal,Sela Ward|Tommy Lee Jones|Harrison Ford,El fugitivo,Jeb Stuart|David Twohy,1993
480,Amblin Entertainment|Universal Pictures,Steven Spielberg,Thriller|Adventure|Sci-Fi,theme park|tyrannosaurus rex|chaos theory|dinosaur|man on a toilet,Sam Neill|Laura Dern|Jeff Goldblum,Jurassic Park (Parque Jurásico),Michael Crichton,1993
500,Twentieth Century Fox|Blue Wolf Productions,Chris Columbus,Family|Comedy|Drama,birthday|male actor playing a female character|divorce|birthday party|profanity,Robin Williams|Pierce Brosnan|Sally Field,"Señora Doubtfire, papá de por vida",Anne Fine|Randi Mayem Singer,1993
527,Amblin Entertainment|Universal Pictures,Steven Spielberg,Biography|Drama|History,villa|soap|champagne|accountant|womanizer,Liam Neeson|Ben Kingsley|Ralph Fiennes,La lista de Schindler,Steven Zaillian|Thomas Keneally,1993
588,Silver Screen Partners IV|Walt Disney Feature Animation|Walt Disney Pictures,Ron Clements,Family|Musical|Fantasy|Romance|Comedy|Adventure|Animation,disney princess|arab|genie|princess|lamp,Scott Weinger|Robin Williams|Linda Larkin,Aladdín,Ron Clements|John Musker,1992
589,Lightstorm Entertainment|Carolco Pictures|Pacific Western,James Cameron,Action|Sci-Fi,liquid metal|time travel|war with machines|sequel|future,Arnold Schwarzenegger|Edward Furlong|Linda Hamilton,Terminator 2: El juicio final,James Cameron|William Wisher,1991
590,Allied Filmmakers|Tig Productions|Majestic Films International,Kevin Costner,Adventure|Drama|Western,friendship|19th century|famous score|native american|wolf,Graham Greene|Kevin Costner|Mary McDonnell,Bailando con lobos,Michael Blake,1990
592,PolyGram Filmed Entertainment|Warner Bros.|The Guber-Peters Company,Tim Burton,Action|Adventure,dc comics|alfred pennyworth character|bruce wayne character|the joker character|batman character,Kim Basinger|Jack Nicholson|Michael Keaton,Batman,Bob Kane|Sam Hamm,1989
593,Orion Pictures|Strong Heart/Demme Production,Jonathan Demme,Thriller|Drama|Crime,psychopath|bad guy wins|serial killer|stuck in a well|psycho thriller,Lawrence A. Bonney|Anthony Hopkins|Jodie Foster,El silencio de los corderos,Thomas Harris|Ted Tally,1991
595,Silver Screen Partners IV|Walt Disney Feature Animation|Walt Disney Pictures,Gary Trousdale,Family|Musical|Fantasy|Romance|Animation,france|castle|rose|based on fairy tale|title appears in song,Robby Benson|Paige OHara|Jesse Corti,La bella y la bestia,Linda Woolverton|Brenda Chapman,1991
608,PolyGram Filmed Entertainment|Working Title Films,Joel Coen,Thriller|Drama|Crime,black comedy|small town americana|fargo north dakota|unintended consequences|original story,William H. Macy|Steve Buscemi|Frances McDormand,Fargo,Ethan Coen|Joel Coen,1996
648,Cruise/Wagner Productions|Paramount Pictures,Brian De Palma,Action|Thriller|Adventure,based on tv show|ethan hunt character|famous score|train|tgv,Tom Cruise|Jon Voight|Emmanuelle Béart,Mission: Impossible,David Koepp|Bruce Geller,1996
780,Centropolis Entertainment|Twentieth Century Fox,Roland Emmerich,Action|Adventure|Sci-Fi,alien contact|saving the world mission|alien technology|1990s|alien invasion,Will Smith|Jeff Goldblum|Bill Pullman,Independence Day,Dean Devlin|Roland Emmerich,1996
858,Alfran Productions|Paramount Pictures,Francis Ford Coppola,Drama|Crime,crime family|rise to power|mafia|patriarch|organized crime,Marlon Brando|James Caan|Al Pacino,El padrino,Francis Ford Coppola|Mario Puzo,1972
1036,Silver Pictures|Twentieth Century Fox|Gordon Company,John McTiernan,Action|Thriller,hostage|los angeles california|christmas|one against many|christmas eve,Bonnie Bedelia|Alan Rickman|Bruce Willis,Jungla de cristal,Jeb Stuart|Roderick Thorp,1988
1196,Lucasfilm,Irvin Kershner,Action|Adventure|Fantasy|Sci-Fi,famous twist|rescue|rebel|duel|sword fight,Carrie Fisher|Mark Hamill|Harrison Ford,El imperio contraataca,Lawrence Kasdan|Leigh Brackett,1980
1198,Lucasfilm|Paramount Pictures,Steven Spielberg,Action|Adventure,archeologist|ark of the covenant|nazi|indiana jones|egypt,Karen Allen|Paul Freeman|Harrison Ford,En busca del arca perdida,Lawrence Kasdan|George Lucas,1981
1210,Lucasfilm,Richard Marquand,Action|Adventure|Fantasy|Sci-Fi,villain turns good|empire|death star|rebel|emperor,Carrie Fisher|Mark Hamill|Harrison Ford,El retorno del Jedi,Lawrence Kasdan|George Lucas,1983
1214,Twentieth Century-Fox Productions|Brandywine Productions,Ridley Scott,Sci-Fi|Horror,alien|female protagonist|creature|spaceship|outer space,Sigourney Weaver|John Hurt|Tom Skerritt,"Alien, el octavo pasajero",Ronald Shusett|Dan OBannon,1979
1270,Amblin Entertainment|Universal Pictures|U-Drive Productions,Robert Zemeckis,Comedy|Adventure|Sci-Fi,time travel comedy|time travel|delorean|future|time machine,Michael J. Fox|Lea Thompson|Christopher Lloyd,Regreso al futuro,Bob Gale|Robert Zemeckis,1985
1580,Columbia Pictures Corporation|Amblin Entertainment|Parkes+MacDonald Image Nation,Barry Sonnenfeld,Mystery|Comedy|Adventure|Sci-Fi,terrorist|alien|laser gun|galaxy|flying saucer,Will Smith|Linda Fiorentino|Tommy Lee Jones,Men in Black (Hombres de negro),Ed Solomon|Lowell Cunningham,1997
2028,Amblin Entertainment|DreamWorks|Paramount Pictures,Steven Spielberg,War|Drama,d day|normandy|world war two|rescue mission|army,Tom Sizemore|Tom Hanks|Matt Damon,Salvar al soldado Ryan,Robert Rodat,1998
2571,Village Roadshow Pictures|Groucho Film Partnership|Warner Bros.,Lana Wachowski,Action|Sci-Fi,questioning reality|war with machines|simulated reality|post apocalypse|artificial reality,Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss,Matrix,Lilly Wachowski|Lana Wachowski,1999
2762,The Kennedy/Marshall Company|Spyglass Entertainment|Hollywood Pictures,M. Night Shyamalan,Mystery|Thriller|Drama,able to see the dead|surprise ending|ghost|plot twist|bullying,Haley Joel Osment|Toni Collette|Bruce Willis,El sexto sentido,M. Night Shyamalan,1999
2858,Jinks/Cohen Company|DreamWorks,Sam Mendes,Drama,midlife crisis|drug dealer|adulterous wife|domestic violence|virgin girl,Thora Birch|Annette Bening|Kevin Spacey,American Beauty,Alan Ball,1999
2959,Fox 2000 Pictures|Linson Films|Regency Enterprises,David Fincher,Drama,fighting|anti establishment|multiple personality disorder|surprise ending|insomnia,Meat Loaf|Brad Pitt|Edward Norton,El club de la lucha,Jim Uhls|Chuck Palahniuk,1999
3578,Scott Free Productions|DreamWorks|Universal Pictures,Ridley Scott,Action|Adventure|Drama,slavery|combat|roman empire|gladiator|battlefield,Connie Nielsen|Russell Crowe|Joaquin Phoenix,Gladiator (El gladiador),David Franzoni,2000
4226,Newmarket Capital Group|I Remember Productions|Team Todd,Christopher Nolan,Mystery|Thriller,short term memory loss|memory|telephone|short term memory|hidden truth,Joe Pantoliano|Guy Pearce|Carrie-Anne Moss,Memento,Christopher Nolan|Jonathan Nolan,2000
4306,Pacific Data Images (PDI)|DreamWorks|DreamWorks Animation,Andrew Adamson,Family|Fantasy|Comedy|Adventure|Animation,shrek|swamp|fire breathing dragon|ogre|princess,Mike Myers|Eddie Murphy|Cameron Diaz,Shrek,Ted Elliott|William Steig,2001
4993,New Line Cinema|The Saul Zaentz Company|WingNut Films,Peter Jackson,Adventure|Drama|Fantasy,orc|quest|hobbit|elf|ring,Elijah Wood|Orlando Bloom|Ian McKellen,El señor de los anillos: La comunidad del anillo,Fran Walsh|J.R.R. Tolkien,2001
5952,New Line Cinema|The Saul Zaentz Company|WingNut Films,Peter Jackson,Adventure|Drama|Fantasy,epic|wizard|evil wizard|mission|middle earth,Viggo Mortensen|Elijah Wood|Ian McKellen,El señor de los anillos: Las dos torres,Fran Walsh|J.R.R. Tolkien,2002
6539,Walt Disney Pictures|Jerry Bruckheimer Films,Gore Verbinski,Action|Adventure|Fantasy,pirate|governor|undead|caribbean|curse,Geoffrey Rush|Orlando Bloom|Johnny Depp,Piratas del Caribe: La maldición de la Perla Negra,Terry Rossio|Ted Elliott,2003
7153,New Line Cinema|The Saul Zaentz Company|WingNut Films,Peter Jackson,Adventure|Drama|Fantasy,orc|hobbit|ring|battle|journey,Viggo Mortensen|Elijah Wood|Ian McKellen,El señor de los anillos: El retorno del rey,Fran Walsh|J.R.R. Tolkien,2003
58559,Legendary Entertainment|Warner Bros.|Syncopy,Christopher Nolan,Action|Thriller|Drama|Crime,dc comics|psychopath|clown|scarred face|moral dilemma,Heath Ledger|Aaron Eckhart|Christian Bale,El caballero oscuro,Christopher Nolan|Jonathan Nolan,2008
